encoding,model,n_features,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,seconds
raw,MLP,16,0.9220984215413186,0.009418513625538522,0.9216587149911287,0.00923599825295491,0.9139211177825928
raw,SVM,16,0.9560399257195915,0.00813111336464142,0.9559147451858989,0.008384568059473973,0.1674642562866211
raw,KAN,16,0.9276539770968741,0.011149442816078445,0.9275866799071387,0.010608204402126217,2.5276105403900146
angle,MLP,16,0.5286320024760137,0.037362637850634296,0.5293681828246137,0.03688077251125581,1.0380456447601318
angle,SVM,16,0.4724249458372022,0.027226410360142183,0.473847512030172,0.028928442065403386,0.33503150939941406
angle,KAN,16,0.4824667285670071,0.017277442904690406,0.47557629209671487,0.011790449857157067,2.5906171798706055
amplitude,MLP,4,0.638300835654596,0.041946351053265,0.6300983497192638,0.05356912557778264,0.9201803207397461
amplitude,SVM,4,0.6917130919220056,0.021988600659512712,0.6955971062484246,0.022120320799174517,0.16860508918762207
amplitude,KAN,4,0.6817038068709379,0.019255560540016405,0.6821059815374544,0.018257106130960897,0.14811110496520996
